condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Milk,1,Land Milk,2,Farmer Milk,1,1,1,1
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Bread,3,Crusty Bread,2,Mixed Bread,1,1,1,1
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Noodles,4,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
defaults,set_a,gpt-5,high,129927270,gpt-5-reasoning-high-seed-129927270,Coffee,6,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,2,0
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Coffee,1,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,1,2,0
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Bananas,3,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Bread,4,Crusty Bread,2,Mixed Bread,1,1,2,0
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Milk,5,Farmer Milk,1,Land Milk,2,1,1,1
defaults,set_a,gpt-5,high,135034325,gpt-5-reasoning-high-seed-135034325,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Milk,2,Land Milk,2,Farmer Milk,1,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Bread,3,Mixed Bread,1,Crusty Bread,2,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Tomatoes,4,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
defaults,set_a,gpt-5,high,137859288,gpt-5-reasoning-high-seed-137859288,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
defaults,set_a,gpt-5,high,177303723,gpt-5-reasoning-high-seed-177303723,Tomatoes,1,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
