condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Coffee,1,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Bread,3,Crusty Bread,2,Mixed Bread,1,1,1,1
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Tomatoes,4,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
defaults,set_a,gpt-5,minimal,146698926,gpt-5-reasoning-minimal-seed-146698926,Milk,6,Land Milk,2,Farmer Milk,1,1,1,1
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Tomatoes,1,Dorenia Tomatoes,1,Angora Tomatoes,2,1,2,0
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Coffee,2,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Bread,3,Crusty Bread,2,Mixed Bread,1,1,1,1
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Milk,4,Farmer Milk,1,Land Milk,2,1,2,0
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,2,0
defaults,set_a,gpt-5,minimal,199184931,gpt-5-reasoning-minimal-seed-199184931,Bananas,6,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,2,0
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Tomatoes,1,Dorenia Tomatoes,1,Angora Tomatoes,2,1,2,0
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Bread,2,Crusty Bread,2,Mixed Bread,1,1,1,1
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Milk,3,Farmer Milk,1,Land Milk,2,1,1,1
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Noodles,4,Fusilli Noodles,2,Rotini Noodles,1,1,2,0
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Coffee,5,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
defaults,set_a,gpt-5,minimal,221781765,gpt-5-reasoning-minimal-seed-221781765,Bananas,6,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Bananas,1,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Coffee,3,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Milk,4,Land Milk,2,Farmer Milk,1,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Bread,5,Crusty Bread,2,Mixed Bread,1,1,1,1
defaults,set_a,gpt-5,minimal,247388250,gpt-5-reasoning-minimal-seed-247388250,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
defaults,set_a,gpt-5,minimal,260496811,gpt-5-reasoning-minimal-seed-260496811,Coffee,1,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
defaults,set_a,gpt-5,minimal,260496811,gpt-5-reasoning-minimal-seed-260496811,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
