condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Coffee,2,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Bananas,4,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Milk,5,Farmer Milk,1,Land Milk,2,2,2,1
defaults,set_b,gpt-5,high,100140142,gpt-5-reasoning-high-seed-100140142,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Bread,3,Crusty Bread,2,Mixed Bread,1,2,2,1
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Milk,4,Land Milk,2,Farmer Milk,1,2,2,1
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
defaults,set_b,gpt-5,high,105128698,gpt-5-reasoning-high-seed-105128698,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Bread,2,Crusty Bread,2,Mixed Bread,1,2,2,1
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Coffee,3,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Milk,4,Land Milk,2,Farmer Milk,1,2,1,0
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,2,1,0
defaults,set_b,gpt-5,high,117326730,gpt-5-reasoning-high-seed-117326730,Tomatoes,6,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
defaults,set_b,gpt-5,high,150519598,gpt-5-reasoning-high-seed-150519598,Coffee,1,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
defaults,set_b,gpt-5,high,150519598,gpt-5-reasoning-high-seed-150519598,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
defaults,set_b,gpt-5,high,150519598,gpt-5-reasoning-high-seed-150519598,Milk,3,Farmer Milk,1,Land Milk,2,2,1,0
