condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Bread,1,Mixed Bread,1,Crusty Bread,2,1,2,0
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Milk,2,Farmer Milk,1,Land Milk,2,1,1,1
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,2,0
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,2,0
no_nudge,set_a,gpt-5,high,103848422,gpt-5-reasoning-high-seed-103848422,Bananas,6,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Noodles,2,Fusilli Noodles,2,Rotini Noodles,1,1,2,0
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Coffee,3,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,2,0
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Milk,4,Farmer Milk,1,Land Milk,2,1,1,1
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Tomatoes,5,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
no_nudge,set_a,gpt-5,high,108449461,gpt-5-reasoning-high-seed-108449461,Bread,6,Crusty Bread,2,Mixed Bread,1,1,2,0
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Milk,1,Farmer Milk,1,Land Milk,2,1,1,1
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,2,0
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Bread,4,Mixed Bread,1,Crusty Bread,2,1,2,0
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
no_nudge,set_a,gpt-5,high,109747452,gpt-5-reasoning-high-seed-109747452,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
no_nudge,set_a,gpt-5,high,134031071,gpt-5-reasoning-high-seed-134031071,Bread,1,Crusty Bread,2,Mixed Bread,1,1,2,0
