condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,2,0
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Milk,3,Farmer Milk,1,Land Milk,2,1,1,1
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Bananas,4,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,2,0
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
no_nudge,set_a,gpt-5,minimal,124117860,gpt-5-reasoning-minimal-seed-124117860,Bread,6,Crusty Bread,2,Mixed Bread,1,1,2,0
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Bread,1,Crusty Bread,2,Mixed Bread,1,1,2,0
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Bananas,4,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,2,0
no_nudge,set_a,gpt-5,minimal,13649040,gpt-5-reasoning-minimal-seed-13649040,Milk,6,Farmer Milk,1,Land Milk,2,1,1,1
no_nudge,set_a,gpt-5,minimal,162457415,gpt-5-reasoning-minimal-seed-162457415,Coffee,1,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,2,0
no_nudge,set_a,gpt-5,minimal,162457415,gpt-5-reasoning-minimal-seed-162457415,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
no_nudge,set_a,gpt-5,minimal,162457415,gpt-5-reasoning-minimal-seed-162457415,Milk,3,Farmer Milk,1,Land Milk,2,1,1,1
