condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Tomatoes,1,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Bread,2,Mixed Bread,1,Crusty Bread,2,2,2,1
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Noodles,4,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Milk,5,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,117734862,gpt-5-reasoning-high-seed-117734862,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Milk,3,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Bread,5,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,high,122998995,gpt-5-reasoning-high-seed-122998995,Coffee,6,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Milk,1,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Bread,2,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Noodles,3,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,high,12327653,gpt-5-reasoning-high-seed-12327653,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Bread,1,Mixed Bread,1,Crusty Bread,2,2,2,1
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Noodles,3,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Milk,4,Land Milk,2,Farmer Milk,1,2,1,0
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Tomatoes,5,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,148532578,gpt-5-reasoning-high-seed-148532578,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Bread,1,Mixed Bread,1,Crusty Bread,2,2,2,1
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Coffee,2,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Milk,3,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Bananas,4,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Tomatoes,5,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,149926920,gpt-5-reasoning-high-seed-149926920,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Milk,1,Land Milk,2,Farmer Milk,1,2,1,0
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Coffee,2,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Bread,3,Mixed Bread,1,Crusty Bread,2,2,1,0
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
no_nudge,set_b,gpt-5,high,164112120,gpt-5-reasoning-high-seed-164112120,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Milk,1,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Bread,4,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Bananas,5,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,high,171779361,gpt-5-reasoning-high-seed-171779361,Noodles,6,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Milk,1,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Tomatoes,4,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
no_nudge,set_b,gpt-5,high,235493871,gpt-5-reasoning-high-seed-235493871,Bread,6,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,high,264814271,gpt-5-reasoning-high-seed-264814271,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,high,264814271,gpt-5-reasoning-high-seed-264814271,Milk,2,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,high,264814271,gpt-5-reasoning-high-seed-264814271,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,high,264814271,gpt-5-reasoning-high-seed-264814271,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,high,264814271,gpt-5-reasoning-high-seed-264814271,Noodles,5,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
