condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Milk,3,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Bread,4,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Coffee,5,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,1,0
no_nudge,set_b,gpt-5,minimal,100496618,gpt-5-reasoning-minimal-seed-100496618,Bananas,6,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Coffee,2,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Noodles,4,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Bananas,5,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,minimal,104050975,gpt-5-reasoning-minimal-seed-104050975,Milk,6,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Bread,5,Mixed Bread,1,Crusty Bread,2,2,1,0
no_nudge,set_b,gpt-5,minimal,141034869,gpt-5-reasoning-minimal-seed-141034869,Milk,6,Land Milk,2,Farmer Milk,1,2,2,1
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Milk,2,Land Milk,2,Farmer Milk,1,2,2,1
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Bananas,3,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Bread,4,Mixed Bread,1,Crusty Bread,2,2,1,0
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,153652905,gpt-5-reasoning-minimal-seed-153652905,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,1,0
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Tomatoes,1,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Bread,3,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Milk,5,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,minimal,164209258,gpt-5-reasoning-minimal-seed-164209258,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Milk,2,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Bananas,4,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,165654312,gpt-5-reasoning-minimal-seed-165654312,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Coffee,2,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Milk,3,Land Milk,2,Farmer Milk,1,2,1,0
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Tomatoes,4,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Noodles,5,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
no_nudge,set_b,gpt-5,minimal,212521036,gpt-5-reasoning-minimal-seed-212521036,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
no_nudge,set_b,gpt-5,minimal,212682687,gpt-5-reasoning-minimal-seed-212682687,Milk,1,Farmer Milk,1,Land Milk,2,2,1,0
no_nudge,set_b,gpt-5,minimal,212682687,gpt-5-reasoning-minimal-seed-212682687,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,1,0
no_nudge,set_b,gpt-5,minimal,212682687,gpt-5-reasoning-minimal-seed-212682687,Bread,3,Crusty Bread,2,Mixed Bread,1,2,2,1
no_nudge,set_b,gpt-5,minimal,212682687,gpt-5-reasoning-minimal-seed-212682687,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,2,1,0
no_nudge,set_b,gpt-5,minimal,212682687,gpt-5-reasoning-minimal-seed-212682687,Noodles,5,Rotini Noodles,1,Fusilli Noodles,2,2,1,0
