condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Bread,3,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Tomatoes,5,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,high,10002397,gpt-5-reasoning-high-seed-10002397,Milk,6,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Bread,2,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Noodles,4,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Milk,5,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,high,107354054,gpt-5-reasoning-high-seed-107354054,Coffee,6,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
