condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Tomatoes,1,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Milk,2,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Noodles,3,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Bread,4,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,111490021,gpt-5-reasoning-minimal-seed-111490021,Coffee,6,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Coffee,1,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Bread,3,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Milk,5,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,119208816,gpt-5-reasoning-minimal-seed-119208816,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,2,0
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Bananas,1,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Milk,2,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Noodles,4,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Bread,5,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,121170516,gpt-5-reasoning-minimal-seed-121170516,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Bread,1,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Milk,3,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,135309337,gpt-5-reasoning-minimal-seed-135309337,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Bananas,1,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Bread,2,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Milk,4,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,143607325,gpt-5-reasoning-minimal-seed-143607325,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Milk,1,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Noodles,5,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,151190716,gpt-5-reasoning-minimal-seed-151190716,Bread,6,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,,1,,0
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Bread,2,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Milk,5,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,180894534,gpt-5-reasoning-minimal-seed-180894534,Noodles,6,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Milk,1,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Coffee,3,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Bread,4,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,188593840,gpt-5-reasoning-minimal-seed-188593840,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Tomatoes,2,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Milk,4,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,196323132,gpt-5-reasoning-minimal-seed-196323132,Bread,6,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Milk,1,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Noodles,2,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Bread,4,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Bananas,5,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,196730951,gpt-5-reasoning-minimal-seed-196730951,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Coffee,2,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Milk,4,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Bread,5,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,minimal,20827193,gpt-5-reasoning-minimal-seed-20827193,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Bread,1,Crusty Bread,2,Mixed Bread,1,1,2,0
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Bananas,3,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Milk,5,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,228757355,gpt-5-reasoning-minimal-seed-228757355,Noodles,6,Rotini Noodles,1,Fusilli Noodles,2,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Milk,5,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,248771712,gpt-5-reasoning-minimal-seed-248771712,Bread,6,Mixed Bread,1,Crusty Bread,2,1,2,0
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Bread,1,Mixed Bread,1,Crusty Bread,2,1,1,1
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Coffee,3,Arabica Coffee Beans,2,Robusta Coffee Beans,1,1,1,1
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Milk,4,Land Milk,2,Farmer Milk,1,1,1,1
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Bananas,5,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,1,1,1
social_influence,set_a,gpt-5,minimal,251662750,gpt-5-reasoning-minimal-seed-251662750,Noodles,6,Fusilli Noodles,2,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Bread,1,Crusty Bread,2,Mixed Bread,,1,,0
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,1,1,1
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,1,1,1
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Milk,5,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,25473017,gpt-5-reasoning-minimal-seed-25473017,Noodles,6,Fusilli Noodles,,Rotini Noodles,1,1,1,1
social_influence,set_a,gpt-5,minimal,331641015,gpt-5-reasoning-minimal-seed-331641015,Milk,1,Farmer Milk,1,Land Milk,2,1,1,1
social_influence,set_a,gpt-5,minimal,331641015,gpt-5-reasoning-minimal-seed-331641015,Tomatoes,2,Angora Tomatoes,2,Dorenia Tomatoes,1,1,1,1
social_influence,set_a,gpt-5,minimal,331641015,gpt-5-reasoning-minimal-seed-331641015,Bread,3,Crusty Bread,2,Mixed Bread,1,1,1,1
social_influence,set_a,gpt-5,minimal,331641015,gpt-5-reasoning-minimal-seed-331641015,Bananas,4,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,1,1,1
