condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Milk,3,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Bread,4,Crusty Bread,2,Mixed Bread,1,2,2,1
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Tomatoes,5,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,high,10382762,gpt-5-reasoning-high-seed-10382762,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Milk,1,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Bananas,3,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Tomatoes,4,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,high,110373809,gpt-5-reasoning-high-seed-110373809,Bread,6,Crusty Bread,2,Mixed Bread,1,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Milk,1,Farmer Milk,1,Land Milk,2,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Noodles,3,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Bread,5,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,high,120123667,gpt-5-reasoning-high-seed-120123667,Tomatoes,6,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Noodles,1,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Milk,2,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Bananas,3,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Coffee,4,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Tomatoes,5,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
social_influence,set_b,gpt-5,high,136843585,gpt-5-reasoning-high-seed-136843585,Bread,6,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Bread,1,Crusty Bread,2,Mixed Bread,1,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Milk,3,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Tomatoes,4,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,high,159014494,gpt-5-reasoning-high-seed-159014494,Bananas,6,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Milk,1,Farmer Milk,1,Land Milk,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Bananas,2,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Coffee,3,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Noodles,4,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Bread,5,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,high,160045823,gpt-5-reasoning-high-seed-160045823,Tomatoes,6,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Bread,1,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Milk,2,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Bananas,3,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Noodles,4,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Coffee,5,Robusta Coffee Beans,1,Arabica Coffee Beans,2,2,2,1
social_influence,set_b,gpt-5,high,165950384,gpt-5-reasoning-high-seed-165950384,Tomatoes,6,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,high,174484942,gpt-5-reasoning-high-seed-174484942,Bananas,1,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,high,174484942,gpt-5-reasoning-high-seed-174484942,Coffee,2,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
