condition,set,model,reasoning,seed,agent,category,product_order,option_1_title,option_1_value,option_2_title,option_2_value,target_product,selected_product,target_product_selected
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Milk,1,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Noodles,2,Rotini Noodles,1,Fusilli Noodles,2,2,2,1
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Bread,5,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,minimal,107162925,gpt-5-reasoning-minimal-seed-107162925,Bananas,6,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,1,0
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Bread,2,Crusty Bread,2,Mixed Bread,1,2,2,1
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Bananas,3,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Coffee,4,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Milk,5,Farmer Milk,1,Land Milk,2,2,2,1
social_influence,set_b,gpt-5,minimal,141314642,gpt-5-reasoning-minimal-seed-141314642,Tomatoes,6,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Bananas,1,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Milk,2,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Tomatoes,3,Angora Tomatoes,2,Dorenia Tomatoes,1,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Noodles,4,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Bread,5,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,minimal,145197286,gpt-5-reasoning-minimal-seed-145197286,Coffee,6,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Tomatoes,1,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Milk,3,Farmer Milk,1,Land Milk,2,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Bread,4,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,minimal,164695325,gpt-5-reasoning-minimal-seed-164695325,Noodles,6,Fusilli Noodles,2,Rotini Noodles,1,2,1,0
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Noodles,1,Fusilli Noodles,2,Rotini Noodles,1,2,2,1
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Bread,2,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Milk,3,Land Milk,2,Farmer Milk,1,2,2,1
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Bananas,4,Grand Nain Bananas,1,Dwarf Cavendish Bananas,2,2,2,1
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Coffee,5,Arabica Coffee Beans,2,Robusta Coffee Beans,1,2,2,1
social_influence,set_b,gpt-5,minimal,166002043,gpt-5-reasoning-minimal-seed-166002043,Tomatoes,6,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
social_influence,set_b,gpt-5,minimal,195029255,gpt-5-reasoning-minimal-seed-195029255,Bread,1,Mixed Bread,1,Crusty Bread,2,2,2,1
social_influence,set_b,gpt-5,minimal,195029255,gpt-5-reasoning-minimal-seed-195029255,Bananas,2,Dwarf Cavendish Bananas,2,Grand Nain Bananas,1,2,2,1
social_influence,set_b,gpt-5,minimal,195029255,gpt-5-reasoning-minimal-seed-195029255,Tomatoes,3,Dorenia Tomatoes,1,Angora Tomatoes,2,2,2,1
